og_s1,og_s2,new_s1,new_s2,og_label,new_label,remarks
"Also demonstrating box-office strength _ and getting seven Tony nominations _ was a potent revival of Eugene O'Neill's family drama, ""Long Day's Journey Into Night.""","Also demonstrating box-office strength -- and getting seven Tony nominations -- was a potent revival of Eugene ONeills family drama, Long Days Journey Into Night.""","Also demonstrating box-office strength _ and getting seven Tony nominations _ was a potent revival of Eugene ONeills family drama, ""Long Days Journey Into Night""","Also demonstrating box-office strength -- and getting seven Tony nominations -- was a potent revival of Eugene ONeills family drama, Long Days Journey Into Night.""",1,1,corrected
"The top rate will go to 4.45 percent for all residents with taxable incomes above $500,000.","For residents with incomes above $500,000, the income-tax rate will increase to 4.45 percent.","The top rate will go to 4.45 percent for all residents with taxable incomes above $500,000.","For residents with incomes above $500,000, the income-tax rate will increase to 4.45 percent.",1,1,no need to correct
But Secretary of State Colin Powell brushed off this possibility Wednesday.,Secretary of State Colin Powell last week ruled out a non-aggression treaty.,But Secretary of State Colin Powell brushed off this possibility Wednesday.,Secretary of State Colin Powell Wednesday ruled out a non-aggression treaty.,1,1,corrected
But Secretary of State Colin Powell brushed off this possibility Wednesday.,Secretary of State Colin Powell last week ruled out a non-aggression treaty.,But Secretary of State Colin Powell brushed off this possibility last week.,Secretary of State Colin Powell last week ruled out a non-aggression treaty.,1,1,corrected
"Thomas and Tauzin say, as do many doctors, that the Bush administration has the power to correct some of those flaws.","Like many doctors, Mr. Thomas and Mr. Tauzin say the Bush administration has the power to correct some of those flaws.","Thomas and Tauzin say, as do many doctors, that the Bush administration has the power to correct some of those flaws.","Like many doctors, Mr. Thomas and Mr. Tauzin say the Bush administration has the power to correct some of those flaws.",1,1,no need to correct
"Based on experience elsewhere, it could take up to two years before regular elections are held, he added.","U.S. military officials have said it could take up to two years before regular elections are held, based on experiences elsewhere in the world.","Based on experience elsewhere, it could take up to two years before regular elections are held, he added.","U.S. military officials have said it could take up to two years before regular elections are held, based on experiences elsewhere in the world.",1,0,can't correct
"The results appear in the January issue of Cancer, an American Cancer Society journal, being published online today.","The results appear in the January issue of Cancer, an American Cancer Society (news - web sites) journal, being published online Monday.","The results appear in the January issue of Cancer, an American Cancer Society journal, being published online Monday.","The results appear in the January issue of Cancer, an American Cancer Society (news - web sites) journal, being published online Monday.",1,1,corrected
"The results appear in the January issue of Cancer, an American Cancer Society journal, being published online today.","The results appear in the January issue of Cancer, an American Cancer Society (news - web sites) journal, being published online Monday.","The results appear in the January issue of Cancer, an American Cancer Society journal, being published online today.","The results appear in the January issue of Cancer, an American Cancer Society (news - web sites) journal, being published online today.",1,1,corrected
"The first biotechnology treatment for asthma, the constriction of the airways that affects millions around the world, received approval from the US Food and Drug Administration yesterday.","The first biotechnology treatment for asthma, the constriction of the airways that affects millions of Americans, received approval from the U.S. Food and Drug Administration on Friday.","The first biotechnology treatment for asthma, the constriction of the airways that affects millions around the world, received approval from the US Food and Drug Administration yesterday.","The first biotechnology treatment for asthma, the constriction of the airways that affects millions of Americans, received approval from the U.S. Food and Drug Administration on Friday.",1,0,can't correct
"The delegates said raising and distributing funds has been complicated by the U.S. crackdown on jihadi charitable foundations, bank accounts of terror-related organizations and money transfers.","Bin Laden’s men pointed out that raising and distributing funds has been complicated by the U.S. crackdown on jihadi charitable foundations, bank accounts of terror-related organizations and money transfers.","The delegates said raising and distributing funds has been complicated by the U.S. crackdown on jihadi charitable foundations, bank accounts of terror-related organizations and money transfers.","Bin Laden’s men pointed out that raising and distributing funds has been complicated by the U.S. crackdown on jihadi charitable foundations, bank accounts of terror-related organizations and money transfers.",1,0,can't correct
"FBI agents arrested a former partner of Big Four accounting firm Ernst & Young ERNY.UL on criminal charges of obstructing federal investigations, U.S. officials said on Thursday.",A former partner of accountancy firm Ernst & Young was yesterday arrested by FBI agents in the US on charges of obstructing federal investigations.,"FBI agents arrested a former partner of Big Four accounting firm Ernst & Young ERNY.UL on criminal charges of obstructing federal investigations, U.S. officials said on Thursday.",A former partner of accountancy firm Ernst & Young ERNY.UL on was Thursday arrested by FBI agents in the US on charges of obstructing federal investigations.,1,1,corrected
"FBI agents arrested a former partner of Big Four accounting firm Ernst & Young ERNY.UL on criminal charges of obstructing federal investigations, U.S. officials said on Thursday.",A former partner of accountancy firm Ernst & Young was yesterday arrested by FBI agents in the US on charges of obstructing federal investigations.,"FBI agents arrested a former partner of Big Four accounting firm Ernst & Young criminal charges of obstructing federal investigations, U.S. officials said on Thursday.",A former partner of accountancy firm Ernst & Young was Thursday arrested by FBI agents in the US on charges of obstructing federal investigations.,1,1,corrected
